coef_SBS10c Status
X12703.p1 0.254356003138386 Normal_trios
X10834 0.184743747145877 Normal_trios
X108922 0.237189555811957 Normal_trios
X2049 0.215265328644681 Normal_trios
X12243.p1 0.214850217374764 Normal_trios
X11946.s1 0.215257528920672 Normal_trios
X14219.p1 0.201555432367675 Normal_trios
X125345 0.254709654004672 Normal_trios
X11325.s1 0.326000953885996 Normal_trios
X79107 0.309768632092208 Normal_trios
X13093.s1 0.167159919438978 Normal_trios
X12424.p1 0.463919213954341 Normal_trios
X140253 0.300978804544529 Normal_trios
X146723 0.332130372838884 Normal_trios
X13018.s1 0.373919322002626 Normal_trios
X26700 0.205232918531391 Normal_trios
X14155.s1 0.193586343163411 Normal_trios
X13130.s1 0.238932359520724 Normal_trios
X11998.p1 0.220385030507283 Normal_trios
X13718.s1 0.249290566409093 Normal_trios
X11411.p1 0.247996546793412 Normal_trios
X144597 0.168840172714018 Normal_trios
X111432 0.190660343368053 Normal_trios
X12707.p1 0.249574196280922 Normal_trios
X16871 0.257624881639334 Normal_trios
X14492.p1 0.341209716331292 Normal_trios
X118553 0.260855857831522 Normal_trios
X12132.s1 0.19058250530224 Normal_trios
X19325 0.185937168576239 Normal_trios
X11368.p1 0.192861471129092 Normal_trios
X141679 0.202044159312254 Normal_trios
X11552.s1 0.287792697539434 Normal_trios
X11642.s1 0.172835055262784 Normal_trios
X14061.s1 0.229608950393972 Normal_trios
X13624.s1 0.224590035121667 Normal_trios
X71708 0.277615540209944 Normal_trios
X135968 0.250957275384266 Normal_trios
X14219.s1 0.204093138152078 Normal_trios
X12969.s1 0.426659417163087 Normal_trios
X12674.s1 0.275550026777934 Normal_trios
X13072.s1 0.268237923089428 Normal_trios
X115946 0.247531304948768 Normal_trios
X13061.p1 0.249339567687702 Normal_trios
X12662.p1 0.25592963193399 Normal_trios
X14659.s1 0.345450602506178 Normal_trios
X85219 0.320310673146852 Normal_trios
X14435.s1 0.283241314652172 Normal_trios
X14515.s1 0.205188235325581 Normal_trios
X143174 0.244478489870972 Normal_trios
X12101.s1 0.273954344372671 Normal_trios
X118170 0.372663463607262 Normal_trios
X22442 0.344622714056204 Normal_trios
X14586.s1 0.289620717789393 Normal_trios
X83148 0.226523654300078 Normal_trios
X13872.p1 0.22004574324069 Normal_trios
X11892.p1 0.269596233269019 Normal_trios
X86483 0.241454048043631 Normal_trios
X14373.s1 0.184683496078178 Normal_trios
X34697 0.205536961896162 Normal_trios
Proband.111 0.254802869787502 Normal_trios
X11360.s1 0.213013369289812 Normal_trios
X12691.s1 0.291670249490742 Normal_trios
X39175 0.299122898804342 Normal_trios
X12888.s1 0.256052164662072 Normal_trios
X13115.s1 0.195499935941531 Normal_trios
X13517.s1 0.260574560381555 Normal_trios
X35001 0.389292647349476 Normal_trios
X14391.s1 0.174844545746394 Normal_trios
X73677 0.203896960944518 Normal_trios
X78675 0.190038168601015 Normal_trios
X12944.p1 0.220738903584548 Normal_trios
X112236 0.3712521042998 Normal_trios
X98124 0.319762567302833 Normal_trios
X12101.p1 0.238795626640519 Normal_trios
X7432 0.202644250682108 Normal_trios
X31410 0.278473199643845 Normal_trios
X13023.s1 0.268790751958567 Normal_trios
X12426.p1 0.197483281278719 Normal_trios
X14005.p1 0.200747207557711 Normal_trios
X14475.s1 0.201472177772742 Normal_trios
X13965.s1 0.28470116086732 Normal_trios
X102267 0.351598038713011 Normal_trios
X14669.s1 0.301215234872209 Normal_trios
X11523.p1 0.212048497290812 Normal_trios
X95715 0.312686576922663 Normal_trios
X11474.p1 0.307661652453659 Normal_trios
X14533.s1 0.443246663569036 Normal_trios
X12681.s1 0.224839857088354 Normal_trios
X106368 0.186257247056046 Normal_trios
X12705.s1 0.264874844317853 Normal_trios
X85690 0.362281931093591 Normal_trios
X14440.p1 0.335048548538572 Normal_trios
X14609.s1 0.200960252559348 Normal_trios
X148520 0.310813743082876 Normal_trios
X12154.s1 0.21764235459254 Normal_trios
X11346.s1 0.281712988980577 Normal_trios
X13263.s1 0.303505116290495 Normal_trios
X14370.s1 0.258352862278473 Normal_trios
X11597.s1 0.295831254270559 Normal_trios
X12347.s1 0.251493463785539 Normal_trios
X14526.s1 0.416852672571433 Normal_trios
X11804.s1 0.204474164366627 Normal_trios
X120751 0.232277216050958 Normal_trios
X11843.p1 0.279735125578912 Normal_trios
X13722.p1 0.259051223057708 Normal_trios
X12055.s1 0.381244329506145 Normal_trios
X73519 0.206149510149467 Normal_trios
X14309.s1 0.298175721407118 Normal_trios
X13624.p1 0.373972925223434 Normal_trios
X101608 0.304661329249993 Normal_trios
X13681.p1 0.208925394853658 Normal_trios
X47914 0.337642388885646 Normal_trios
X13934.p1 0.261321365733313 Normal_trios
X76925 0.19848937760336 Normal_trios
X1507 0.202327205097141 Normal_trios
X144168 0.230245831675222 Normal_trios
X13612.s1 0.357028606164202 Normal_trios
X13504.p1 0.177304760295934 Normal_trios
X117517 0.20173391474534 Normal_trios
X14337.p1 0.302131524737857 Normal_trios
X12938.p1 0.287714046346537 Normal_trios
X109325 0.35783249126628 Normal_trios
X12688.p1 0.298523841094762 Normal_trios
X14645.p1 0.237800678119649 Normal_trios
X12798.s1 0.222745519166754 Normal_trios
X11990.p1 0.270794656537176 Normal_trios
X68258 0.29565888310262 Normal_trios
X12598.s1 0.181346840012104 Normal_trios
X14684.p1 0.224363732034898 Normal_trios
X11753.p1 0.320344037428466 Normal_trios
X14167.p1 0.346046018712417 Normal_trios
X13072.p1 0.369166335561861 Normal_trios
X30530 0.205209457655363 Normal_trios
X64176 0.308426278412342 Normal_trios
X11195.s1 0.315127185378882 Normal_trios
X13415.s1 0.192251562057226 Normal_trios
X14608.s1 0.177828658209062 Normal_trios
X14483.s1 0.208548882376641 Normal_trios
X112670 0.372228551149425 Normal_trios
X35505 0.4862146332459 Normal_trios
X11990.s1 0.390944296496153 Normal_trios
X14433.s1 0.246181812058125 Normal_trios
X14061.p1 0.305054742559331 Normal_trios
