PC1 PC2 PC3 PC4 PC5 PC6
13096.p1 -0.059986870086742 0.0713104271771074 0.0392437540855132 0.143498978779705 -0.381747663658958 -0.00272385686919982
14101.p1 0.204539142769903 -0.0347148062907157 -0.0126769597064891 -0.013982678043026 -0.215018072438927 0.0275032524489441
11694.p1 0.273690989200635 -0.0227719744330827 -0.00706127930154568 -0.00399761472629152 0.133761365813742 0.0138398735280317
87171 0.0909709066800996 -0.171787075137118 0.0843121644585774 0.087617903416472 -0.00481869907510303 -0.0273227025819395
14375.s1 0.0533735172709491 0.236795063620809 -0.0566336529264557 -0.0681157741687096 -0.237193704675098 -0.056787332479789
12197.s1 0.129517908210445 0.00428100106570138 0.0611075926219529 0.0960857933076971 -0.256361224985629 0.0176014949159908
94281 0.0639681163456917 0.126700101199851 0.113596493491334 0.120337894458904 -0.16388431424283 -0.0885740805534248
13322.s1 0.161632866416718 0.356449887528167 -0.0103828205654814 0.0278820280926726 -0.0983412078588377 0.089310253360673
55852 0.0431796206967807 0.122262229399761 0.119353825816547 -0.0642941645192629 -0.162651678722331 -0.411385690435794
11164.p1 0.145927839809923 -0.238180451452703 0.0235330417147213 -0.0114948423814917 -0.149662221699689 0.0907898780048642
14592.p1 -0.240732345315954 0.0177728617249518 -0.00400878431832706 0.0839384209663529 0.0724393508204004 -0.0219861392031134
81459 0.281343743844632 0.0609844328953302 0.0469837745781601 -0.0621776847607768 -0.0169772252692685 -0.227950295573793
14042.p1 0.0805787141383255 -0.0974262738925229 0.202973659632889 0.0427235832255331 0.0290418747992985 -0.116870461660397
14645.s1 0.277042540842311 0.0253261205654708 0.282575462979849 -0.119441941756053 0.0756825485300903 -0.112250944873634
12021.s1 0.187356208896403 0.0683360311228383 0.0792337552881426 -0.190284042932882 0.137375210645529 0.173493097365858
64417 0.215061999298674 -0.0895719050128471 0.213164683685899 -0.200844820374442 0.357012689988272 -0.0266204466931433
13764.p1 -0.0205640328164828 0.124944189177452 0.157004761777919 -0.0766087317225129 0.155694617531395 -0.0731539287701242
14195.p1 0.189075006028961 0.107790363739802 0.0808496086812732 -0.182787293143583 0.142273450469753 -0.142002128635742
12940.s1 0.0813843423982765 -0.168051155244117 0.0759766306757585 -0.09308233337987 0.00731221707748534 -0.267777015059937
13336.s1 0.25557055993375 0.00342663642911348 0.125527649457307 -0.004708447165285 -0.0426968022910278 0.0833555736725359
